epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.865,1.63374,4.26009,1.03372,0.00185,0.11519,0.03474,0.02513,1.1509,4.15128,0.89702,0.000364455,0.000364455,0.000364455
2,400.649,1.30164,2.64136,0.95808,0.88853,0.21619,0.24343,0.16741,1.12978,2.19167,0.93523,0.000662044,0.000662044,0.000662044
3,620.281,1.21652,2.21842,0.95083,0.96578,0.34721,0.37731,0.25874,1.12124,1.67494,0.92409,0.000886308,0.000886308,0.000886308
4,842.156,1.13772,1.9471,0.95981,0.96526,0.36132,0.3906,0.28464,1.01581,1.37768,0.901,0.000781033,0.000781033,0.000781033
5,1055.57,1.04163,1.73105,0.90414,0.98794,0.38379,0.39118,0.26717,0.98725,1.23006,0.88898,0.000671044,0.000671044,0.000671044
6,1269.65,1.03776,1.54082,0.91316,0.98705,0.38011,0.39198,0.28912,0.94926,1.14974,0.89207,0.000561055,0.000561055,0.000561055
7,1468.28,1.03538,1.45469,0.91282,0.99226,0.38189,0.39446,0.28704,0.93863,1.04952,0.87776,0.000451066,0.000451066,0.000451066
8,1652.31,0.97374,1.31889,0.88564,0.99299,0.39324,0.39585,0.29738,0.92523,0.99382,0.86603,0.000341077,0.000341077,0.000341077
9,1854.41,0.93586,1.24038,0.87278,0.99917,0.39089,0.39942,0.31571,0.84566,0.92751,0.85389,0.000231088,0.000231088,0.000231088
10,2042.27,0.87023,1.16252,0.85693,0.9971,0.39341,0.40093,0.31663,0.8282,0.90821,0.8459,0.000121099,0.000121099,0.000121099
